,Close
2000-01-03,15.6079
2000-01-04,15.3002
2000-01-05,15.1883
2000-01-06,15.4401
2000-01-07,16.0555
2000-01-10,15.6918
2000-01-11,15.552
2000-01-12,15.2443
2000-01-13,15.0765
2000-01-14,15.4401
2000-01-18,15.1044
2000-01-19,14.7968
2000-01-20,14.2653
2000-01-21,13.9576
2000-01-24,13.4262
2000-01-25,13.2583
2000-01-26,13.3422
2000-01-27,13.8737
2000-01-28,14.2653
2000-01-31,14.601
2000-02-01,14.6569
2000-02-02,14.7688
2000-02-03,14.9086
2000-02-04,15.4401
2000-02-07,15.1324
2000-02-08,15.2163
2000-02-09,16.1114
2000-02-10,15.7198
2000-02-11,15.552
2000-02-14,15.6918
2000-02-15,15.7198
2000-02-16,15.524
2000-02-17,15.4401
2000-02-18,14.601
2000-02-22,14.8807
2000-02-23,14.4611
2000-02-24,14.4052
2000-02-25,14.3492
2000-02-28,14.8247
2000-02-29,14.6569
2000-03-01,15.1324
2000-03-02,14.9925
2000-03-03,14.517
2000-03-06,14.0415
2000-03-07,13.2583
2000-03-08,13.622
2000-03-09,14.0695
2000-03-10,13.8457
2000-03-13,13.6779
2000-03-14,13.9296
2000-03-15,14.545
2000-03-16,15.4401
2000-03-17,14.9925
2000-03-20,15.1883
2000-03-21,15.0765
2000-03-22,15.4121
2000-03-23,15.1324
2000-03-24,15.0485
2000-03-27,14.8807
2000-03-28,15.0765
2000-03-29,15.6079
2000-03-30,15.8876
2000-03-31,15.7478
2000-04-03,16.6708
2000-04-04,17.6498
2000-04-05,16.5869
2000-04-06,16.9226
2000-04-07,16.447
2000-04-10,16.475
2000-04-11,17.1463
2000-04-12,17.7337
2000-04-13,17.5939
2000-04-14,16.531
2000-04-17,16.8666
2000-04-18,17.2023
2000-04-19,17.2302
2000-04-20,17.5659
2000-04-24,17.9295
2000-04-25,17.7897
2000-04-26,17.454
2000-04-27,17.454
2000-04-28,17.2023
2000-05-01,17.0344
2000-05-02,17.0904
2000-05-03,16.8386
2000-05-04,16.6708
2000-05-05,16.9785
2000-05-08,17.3701
2000-05-09,17.3421
2000-05-10,17.2582
2000-05-11,16.9505
2000-05-12,16.5589
2000-05-15,17.426
2000-05-16,17.3981
2000-05-17,17.2582
2000-05-18,18.1533
2000-05-19,18.6008
2000-05-22,19.1323
2000-05-23,19.2162
2000-05-24,19.3561
2000-05-25,19.1323
2000-05-26,18.6568
2000-05-30,18.405
2000-05-31,18.2092
2000-06-01,18.2931
2000-06-02,17.51
2000-06-05,17.7897
2000-06-06,17.9855
2000-06-07,17.9855
2000-06-08,18.2652
2000-06-09,18.2652
2000-06-12,18.0414
2000-06-13,18.3771
2000-06-14,18.7966
2000-06-15,19.1882
2000-06-16,18.9924
2000-06-19,19.1603
2000-06-20,18.7127
2000-06-21,18.7407
2000-06-22,18.2652
2000-06-23,18.0973
2000-06-26,18.3771
2000-06-27,18.6008
2000-06-28,19.0204
2000-06-29,18.7407
2000-06-30,19.9434
2000-07-03,19.8316
2000-07-05,19.9434
2000-07-06,19.6078
2000-07-07,19.384
2000-07-10,19.2442
2000-07-11,19.2442
2000-07-12,19.8316
2000-07-13,19.5239
2000-07-14,18.7966
2000-07-17,18.9365
2000-07-18,18.8246
2000-07-19,18.405
2000-07-20,18.405
2000-07-21,17.9016
2000-07-24,18.1813
2000-07-25,17.8736
2000-07-26,17.8456
2000-07-27,17.9016
2000-07-28,18.5449
2000-07-31,18.6288
2000-08-01,18.9645
2000-08-02,19.0763
2000-08-03,19.2162
2000-08-04,18.7127
2000-08-07,17.9855
2000-08-08,17.9855
2000-08-09,17.7058
2000-08-10,18.1533
2000-08-11,18.2092
2000-08-14,17.8736
2000-08-15,17.9855
2000-08-16,18.2092
2000-08-17,18.3211
2000-08-18,18.0134
2000-08-21,18.7127
2000-08-22,18.7687
2000-08-23,18.6288
2000-08-24,18.3211
2000-08-25,18.7407
2000-08-28,19.3561
2000-08-29,19.0484
2000-08-30,19.384
2000-08-31,19.5798
2000-09-01,19.44
2000-09-05,19.1323
2000-09-06,18.9645
2000-09-07,19.3281
2000-09-08,19.7756
2000-09-11,20.1113
2000-09-12,20.0833
2000-09-13,19.8036
2000-09-14,19.6917
2000-09-15,19.412
2000-09-18,19.8036
2000-09-19,19.4679
2000-09-20,19.6637
2000-09-21,20.5868
2000-09-22,21.7056
2000-09-25,21.4819
2000-09-26,20.7266
2000-09-27,20.9224
2000-09-28,20.8106
2000-09-29,21.2861
2000-10-02,21.4539
2000-10-03,21.5937
2000-10-04,21.2021
2000-10-05,21.314
2000-10-06,21.4539
2000-10-09,21.342
2000-10-10,21.9574
2000-10-11,22.4329
2000-10-12,22.2651
2000-10-13,22.4888
2000-10-16,22.5727
2000-10-17,23.0482
2000-10-18,22.8245
2000-10-19,21.8175
2000-10-20,21.8455
2000-10-23,22.0693
2000-10-24,22.0413
2000-10-25,23.0203
2000-10-26,22.8524
2000-10-27,23.1322
2000-10-30,24.1671
2000-10-31,23.6356
2000-11-01,23.6636
2000-11-02,23.9433
2000-11-03,23.6077
2000-11-06,23.5517
2000-11-07,23.4119
2000-11-08,23.4958
2000-11-09,23.4398
2000-11-10,23.5238
2000-11-13,22.9364
2000-11-14,22.7685
2000-11-15,23.8314
2000-11-16,23.6636
2000-11-17,23.328
2000-11-20,23.5797
2000-11-21,24.1112
2000-11-22,23.9713
2000-11-24,23.7475
2000-11-27,23.7196
2000-11-28,24.5027
2000-11-29,24.9503
2000-11-30,24.6426
2000-12-01,23.6636
2000-12-04,24.1951
2000-12-05,24.0552
2000-12-06,22.9084
2000-12-07,22.8524
2000-12-08,22.2371
2000-12-11,22.4049
2000-12-12,22.4609
2000-12-13,23.1881
2000-12-14,21.5378
2000-12-15,20.9504
2000-12-18,22.1811
2000-12-19,22.5168
2000-12-20,21.8455
2000-12-21,21.5378
2000-12-22,21.2021
2000-12-26,21.5658
2000-12-27,21.7336
2000-12-28,21.7056
2000-12-29,21.6777
2001-01-02,21.5378
2001-01-03,21.0623
2001-01-04,19.1323
2001-01-05,19.2442
2001-01-08,19.0484
2001-01-09,19.4679
2001-01-10,19.0484
2001-01-11,18.8246
2001-01-12,19.4959
2001-01-16,20.1392
2001-01-17,19.8036
2001-01-18,20.1672
2001-01-19,19.7197
2001-01-22,19.7756
2001-01-23,19.6917
2001-01-24,19.3561
