Date,0111145D,0202445Q,0203524D,0226226D,0544749D,0574018D,0772031D,0848680D,0867887D,0872237D,0910150D,0948669D,0961514D,0964591D,1028411Q,1040983D,1051665D,1086832D,1255173D,1255177D,1255459D,1280712D,1281683D,1284849D,1288453D,1288652D,1293405D,1312089D,1317355D,140402Q,1431816D,1436513D,1448062D,1500785D,1518855D,1519128D,1520415D,1524867D,1528159D,1539941D,1541931D,1566019D,1621582D,1627457D,1649858D,1654539D,1683351D,1683997D,1684442D,1697067D,1704453D,1715651D,1719868D,1727044D,1746513D,1752754D,1778808D,1789494D,1799685D,1806854D,1810430D,1812212D,1822785D,1825471D,1831877D,1837572D,1856613D,1858968D,1916672D,1920486D,1922150D,1927294D,1972693D,1996074D,1996760D,2071296D,2073714D,2078185D,2207158D,2269312Q,228510Q,2307532Q,236555Q,253647Q,2641504Q,2676187Q,2727195Q,2731112Q,285939Q,291784Q,2942331Q,2953349Q,2968900Q,297504Q,2987536Q,2999130Q,300583Q,301710Q,3022239Q,3026360Q,3029830Q,304024Q,3075558Q,3080867Q,3133754Q,3153670Q,3253Q,3277Q,3286728Q,329556Q,3301Q,3346Q,3362726Q,3393199Q,3403545Q,3414924Q,3423152Q,3517233Q,355488Q,3605818Q,3621240Q,3692470Q,41018Q,45200Q,4621824Q,502466Q,519239Q,544791Q,5656565D,571300Q,605018Q,605555Q,653707Q,667517Q,677004Q,680884Q,68335Q,723588Q,739306Q,748957Q,764144Q,8206908Q,8214761Q,827663Q,8277831Q,8394653Q,89236Q,929530Q,945852Q,950967Q,987200Q,9876544D,9876549D,9876566D,9990213D,9990253D,9995522D,A,AA,AAL,AAMRQ,AAP,AAPL,ABBV,ABC,ABKFQ,ABMD,ABT,ACAS,ACKH,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AET,AFL,AFS,AGN,AIG,AIV,AIZ,AJG,AKAM,AKS,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMCC,AMCR,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,AN,ANDV,ANDW,ANET,ANF,ANRZQ,ANSS,AON,AOS,APA,APC,APD,APH,APOL,APTV,ARE,ARG,ASH,ATGE,ATI,ATO,ATVI,AVB,AVGO,AVP,AVY,AW,AWE,AWK,AXP,AYE,AYI,AZA,AZO,BA,BAC,BALL,BAX,BBBY,BBWI,BBY,BC,BCR,BDK,BDX,BEN,BF-B,BFH,BGEN,BGGSQ,BHF,BHI,BHMSQ,BIG,BIIB,BIO,BK,BKNG,BKR,BLK,BLS,BMC,BMS,BMY,BNI,BOL,BR,BRCM,BRK-B,BRL,BRO,BSX,BTUUQ,BVSN,BWA,BXLT,BXP,C,CA,CAG,CAH,CAM,CAR,CARR,CAT,CB,CBE,CBOE,CBRE,CCEP,CCI,CCK,CCL,CCTYQ,CDAY,CDNS,CDW,CE,CELG,CEPH,CERN,CF,CFC,CFG,CFN,CGP,CHD,CHKAQ,CHRW,CHTR,CI,CIEN,CIN,CINF,CITGQ,CL,CLF,CLX,CMA,CMCSA,CMCSK,CME,CMG,CMI,CMS,CMVT,CMX,CNC,CNCEQ,CNP,CNX,COC,COF,COL,COO,COP,COST,COTY,COV,CPB,CPGX,CPNLQ,CPPRQ,CPRI,CPRT,CRL,CRM,CSC,CSCO,CSRA,CSX,CTAS,CTB,CTLT,CTRA,CTSH,CTVA,CTXS,CVC,CVG,CVH,CVS,CVX,CXO,CZR,D,DAL,DALRQ,DCNAQ,DD,DDS,DE,DFODQ,DFS,DG,DGX,DHI,DHR,DIS,DISCA,DISCK,DISH,DJ,DLR,DLTR,DLX,DNRCQ,DOFSQ,DOV,DOW,DPHIQ,DPZ,DRE,DRI,DTE,DUK,DVA,DVN,DXC,DXCM,DYNIQ,EA,EBAY,ECL,ED,EFX,EHC,EIX,EKDKQ,EL,ELV,EMC,EMN,EMR,ENDPQ,ENPH,ENRNQ,EOG,EOP,EPAM,EQIX,EQR,EQT,ES,ESRX,ESS,ETFC,ETN,ETR,ETS,ETSY,EVHC,EVRG,EW,EXC,EXPD,EXPE,EXR,F,FANG,FAST,FBF,FBHS,FCX,FDO,FDS,FDX,FE,FFIV,FHI,FHN,FIS,FISV,FITB,FJ,FL,FLIR,FLR,FLS,FLT,FLTWQ,FMC,FMCC,FNMA,FOSL,FOX,FOXA,FPC,FRC,FRT,FSH,FSL-B,FSLR,FTI,FTNT,FTRCQ,FTV,FWLT,GAPTQ,GAS,GBLXQ,GD,GDT,GDW,GE,GEN,GENZ,GGP,GHC,GILD,GIS,GL,GLW,GM,GMCR,GME,GNRC,GNW,GOLD,GOOG,GOOGL,GPC,GPN,GPS,GPUI,GR,GRA,GRMN,GS,GT,GTW,GWW,HAL,HAR,HAS,HBAN,HBI,HCA,HCBK,HD,HES,HET,HFC,HIG,HII,HLT,HM,HNZ,HOG,HOLX,HON,HOT,HP,HPC,HPE,HPQ,HRB,HRL,HSH,HSIC,HSP,HST,HSY,HUM,HWM,IBM,ICE,IDXX,IEX,IFF,IKN,ILMN,IMNX,INCLF,INCY,INFO,INTC,INTU,IP,IPG,IPGP,IQV,IR,IRM,ISRG,IT,ITT,ITW,IVZ,JBHT,JBL,JCI,JEF,JHF,JKHY,JNJ,JNPR,JNS,JNY,JOSEA,JOY,JPM,JWN,K,KATE,KBH,KDP,KEY,KEYS,KG,KHC,KIM,KLAC,KMB,KMI,KMRTQ,KMX,KO,KR,KRB,KRFT,KRI,KSE,KSS,KSU,L,LDG,LDOS,LEG,LEHMQ,LEN,LH,LHX,LIN,LKQ,LLTC,LLY,LM,LMT,LNC,LNT,LO,LOW,LPX,LRCX,LUMN,LUV,LVLT,LVS,LW,LXK,LYB,LYV,M,MA,MAA,MAC,MAR,MAS,MAT,MBI,MCD,MCHP,MCK,MCO,MDLZ,MDP,MDRIQ,MDT,MEE,MEL,MER,MERQ,MET,META,MFE,MGM,MHK,MHS,MI,MIRKQ,MJN,MKC,MKG,MKTX,MLM,MMC,MMM,MNKKQ,MNST,MO,MOLX,MOS,MPC,MPWR,MRK,MRNA,MRO,MS,MSCI,MSFT,MSI,MTB,MTCH,MTD,MTG,MTLQQ,MTW,MU,MUR,MWV,MWW,MXIM,MYL,MZIAQ,NAV,NAVI,NBL,NBR,NC,NCC,NCE,NCLH,NCR,NDAQ,NEBLQ,NEE,NEM,NFB,NFLX,NFX,NGH,NI,NKE,NKTR,NLSN,NMK,NOC,NOV,NOVL,NOW,NRG,NRTLQ,NSC,NTAP,NTRS,NUE,NVDA,NVR,NWL,NWS,NWSA,NXPI,NXTL,NYT,O,OAT,ODFL,OGN,OI,OK,OKE,OMC,OMX,ORCL,ORLY,OTIS,OWENQ,OXY,PALM,PARA,PAYC,PAYX,PBCT,PBG,PBI,PCAR,PCG,PCH,PCL,PCP,PDCO,PDG,PEAK,PEG,PENN,PEP,PETM,PFE,PFG,PG,PGL,PGR,PH,PHM,PKG,PKI,PLD,PM,PMCS,PNC,PNR,PNW,POM,POOL,PPG,PPL,PRDCQ,PRGO,PRU,PSA,PSX,PTC,PTV,PVH,PVN,PWER,PWR,PXD,PYPL,QCOM,QEP,QLGC,QRVO,QTRN,R,RAD,RAI,RAL,RATL,RBK,RCL,RDC,RDPL,RE,REG,REGN,RF,RHI,RHT,RIG,RJF,RL,RMD,RML,RNB,ROH,ROK,ROL,ROP,ROST,RRC,RRD,RSG,RSHCQ,RTN,RTX,RX,SANM,SAPE,SBAC,SBNY,SBUX,SCG,SCHW,SCI,SEBL,SEDG,SEE,SGID,SGP,SHLDQ,SHW,SIAL,SIG,SITC,SIVB,SJM,SLB,SLG,SLM,SNA,SNDK,SNI,SNPS,SNV,SO,SOV,SPG,SPGI,SPLS,SRCL,SRE,SSP,STE,STI,STJ,STT,STX,STZ,SUNEQ,SVU,SWK,SWKS,SWN,SWY,SXCL,SYF,SYK,SYY,T,TAP,TAP-B,TDC,TDG,TDY,TECH,TEG,TEK,TEL,TER,TEX,TFC,TFCF,TFCFA,TFX,TGNA,TGT,THC,TIE,TIN,TJX,TKR,TLAB,TMO,TMUS,TNB,TNL,TOS,TOY,TPR,TRB,TRIP,TRMB,TROW,TRV,TSCO,TSLA,TSN,TSS,TT,TTWO,TUP,TWC,TWTR,TWX,TXN,TXT,TXU,TYL,UA,UAA,UAL,UAWGQ,UCM,UDR,UHS,UIS,ULTA,UMGI,UN,UNH,UNM,UNP,UPS,URBN,URI,USB,USW,V,VALPQ,VAR,VFC,VIAB,VIAV,VLO,VMC,VNO,VNT,VRSK,VRSN,VRTX,VSTNQ,VTR,VTRS,VTSS,VZ,WAB,WAMUQ,WAT,WBA,WCG,WCOEQ,WDC,WEC,WELL,WFC,WFM,WFTIQ,WHR,WINMQ,WLA,WM,WMB,WMT,WNDXQ,WOR,WPX,WRB,WRK,WST,WTW,WU,WWY,WY,WYE,WYNN,X,XEC,XEL,XLNX,XOM,XRAY,XRX,XTO,XYL,YUM,ZBH,ZBRA,ZION,ZTS
2000-01-31 00:00:00,2293600.0,7926100.0,89615200.0,13338800.0,19917600.0,,,53156500.0,,42415200.0,38208700.0,3501100.0,12177800.0,53992350.0,63674700.0,,7135800.0,14328400.0,47608200.0,17901500.0,,,1329300.0,26667600.0,,8712600.0,,22841500.0,66519600.0,16080300.0,67774200.0,43557000.0,,,230501000.0,221875100.0,,,,,,,12208600.0,4282600.0,11422300.0,,,775330500.0,6693900.0,69191100.0,28666600.0,55131500.0,7349600.0,14597000.0,17776097.0,7556400.0,140139100.0,4764140.0,27211200.0,,,,14305500.0,27312500.0,,523245700.0,,,3043500.0,205188600.0,37768800.0,,7603500.0,27175400.0,,,,,,2578200.0,7126200.0,,17129000.0,168348300.0,82478600.0,28526600.0,29676300.0,2888100.0,42336800.0,31782600.0,11426000.0,16206200.0,27852400.0,5878700.0,,7633000.0,43586100.0,12436900.0,7296500.0,32304600.0,138346700.0,685300.0,8839700.0,12256800.0,16693500.0,,18386200.0,24728000.0,37108600.0,624800.0,35081000.0,40836100.0,,52929400.0,19683500.0,,40640600.0,9316200.0,13601300.0,81136600.0,82105900.0,23691700.0,9024600.0,8864500.0,,15036200.0,,8574600.0,,44585700.0,,29056100.0,36875080.0,52820500.0,40844700.0,424577900.0,8508500.0,5753400.0,5090200.0,58009600.0,,,27222700.0,4228200.0,,,,47381600.0,88680400.0,35581200.0,19265400.0,,,21732000.0,,4121800.0,,,45414875.0,,20412400.0,,12554180800,,,,,104994000,,8284400.0,,154802000,46343800.0,25576567,37241100.0,55503600,6929900,7315300,38409600,,86480400,74655100.0,11340100.0,4291515,,,,,,,,,45176400,,,608912000,,,142395600.0,,,249636900,,,,,,30791600.0,,,,,44141500,,36339303,22750000.0,17121400,,,,,,7025993.0,,6709300.0,,,,,54739000.0,10413800,8595400.0,,,125251500,,,57889000.0,7940700,72629600,251420200,57270400,47078400,77791800.0,35011200,82959075,4698400.0,12331600.0,12516300.0,13687300,39198600,24379688,,,5028800.0,,40247400.0,16955400.0,8214000.0,,,36858732,,,,52031400.0,232096100.0,5374600.0,102330600,47429300.0,11323300.0,,,,,,72140800,,,,,,25816767,54800000.0,22620900,40028100,,6750230.0,,77482000,,13202600.0,,,24265700.0,,10632700.0,36754900,33579700.0,,,,,,,,,51731187.0,,,23764400.0,,,,,36402300,,10615600.0,7782768,,57643600,,17726800,12278000,,222589650.0,,,21018400,13919500,43323200.0,,,32436700.0,11735900,,29843100.0,22459600,,,26442600,95161800,,,13570300,,,21869300.0,,,,,20101400.0,986326600,,253474200,,4067100.0,,,,,90879200.0,,,,106310200,65807800,,,53371000,,23471500.0,18860700.0,,6777700.0,54790800,,,,,,37573600,195129800,,,,5783300.0,,,4858100.0,,,12077100,,44769100.0,,,10961400,11560100,11063789,,,,,,,,12230200,10105500,9840100,11477480.0,20445200,27289900.0,,,215690800.0,12661600,41301200,,,76615500.0,,,,,,,,,,,42265600,16423100,4533950.0,,,,,37105200,,,,60408300,,,56599400.0,,24017600,,,31958700,11238900,,,,,,27422250,19279300.0,,,,,,6135800.0,15968400.0,46197300.0,71461300.0,,,,3507200.0,,,,,,,,,,909680.0,2468200.0,,,37647000,43782200.0,20904800.0,43018650,,,,,,31617600,18351675,185184000,,,,,,24229700.0,,,9281700,,55388400,8989700.0,10341100.0,5389000.0,,,24087800.0,40225200.0,12198900,126383200,,22761500,16485150,,,,103378200,33606900,13124300.0,,15990300,,,27409000.0,24289300.0,,,69775500,,,15078000.0,,114861400,30458000.0,,7708500.0,,,,23372400,17021200,,141103100,,,,4236200,8932200.0,,,18278700.0,,,1406962000,,50475800,19242100,,,,,,,5008600.0,37456800,,,,47233990.0,,,,130468000,,,,5167100.0,,145103550,15295600.0,16122000,13084800.0,9697800.0,,21676600,,,,,97364700,29818800,,57562900.0,,189583600,188768600,56687700.0,,9418400.0,,26507000.0,6273650.0,34190400,2044600.0,,8264600.0,77333600.0,,,,,,,57797300,,37192500,11339800,,,129845200,9953500.0,,11120500,46210050,,,,29014200.0,,,51302400.0,,,,21556859.0,26314000,50694400.0,11565900.0,92616400,,30033900,21740200,,2252700.0,11610488.0,102663300,7798000.0,40982600.0,115366800.0,,,,,,,,,,,,3545400.0,,,46357000,62259600,,,161734900,14077875.0,,,,108846400,,63097000,81487500,,1274877400,36758406,,,,11935700.0,66678900.0,,172333200,,,,,,251189.0,13161100.0,,,,407800.0,24019400.0,5861700.0,,,,,86309600,30102600,,,,26087100.0,,127565600,,,9787500.0,10746200,,128947700.0,,,22931060.0,18912700,113816800,19826900,33208800,,,23352700,,,,199309000.0,12974700.0,,7731200.0,,,8298400.0,4007325.0,7220800.0,23729200,8496500.0,1544673800.0,,,10259200.0,41082400,,20925000,,59588550,,,17101500.0,41543381,20073400.0,2148200.0,,,,27832600.0,,28919200,,82370500,,184966900,,157782800,1519200.0,104534400,15155550,21181200,,10215400,,,,20720100,,7000100,,,26871200,13779600,15158900.0,,,,,54025920.0,9416400.0,,35457000.0,,,,,1098382992,,,,46611900.0,5337400.0,4045860.0,,17975600.0,,2722600.0,,19719300.0,49002400.0,,,,,,,43022602.0,,,,1181700.0,,15472300.0,10046600,,,,,3344830.0,,33298400.0,51032300.0,72313800,18830400.0,,,,,,,114011400.0,23646800.0,,,20932600,30139000.0,93559700.0,,36536100,42986400.0,,,,,115622800,,28179300.0,5490300,,,,644999.0,24068800,,,27403200,210009600.0,,16049900,,,14796800.0,30544000.0,23196800,,,,1608727.0,4035400,,,62528000.0,3079240.0,,,27058200,148871300,4728000,,,,,,,15396600.0,,30480600.0,,11435100,,,,14927100.0,76631200,14926575.0,,9681800.0,316253600,4373300.0,159649200.0,11975500,,7565700.0,,19535400.0,31890400.0,,15053500.0,,,17104600,12415000,,,,,30932800.0,,5371700.0,,,164744202.0,161699800.0,33527600,45386800.0,,,,,10390500.0,12383800.0,,,3691900.0,,49098700.0,50467800.0,166321600,13515400.0,68283200,,,,46891600,37201300.0,,,,21766400,,,,5501400,,,,,,,,,,66277600,,100956150.0,,34718600,,789442206.0,,,,184131000,,,10541000,,66815400.0,41161900,40943600,107506900,4500300.0,7435000.0,,,,,,,13700500.0,67960950,87810100.0,,13785900.0,,11115100.0,138895700.0,224579800,,19227650.0,,,70015600,,,,
2000-02-29 00:00:00,2036400.0,6211600.0,82865000.0,15625600.0,55310200.0,,,39631400.0,,42636100.0,45759200.0,4213800.0,7990300.0,40890375.0,57011500.0,,9060500.0,16326800.0,39325800.0,12068900.0,,,1447950.0,25220200.0,,7545750.0,,25108500.0,62927800.0,27880000.0,78698300.0,41406000.0,,,146682800.0,163953300.0,,,,,,,9104400.0,5605300.0,13235600.0,,,672513200.0,5662700.0,59102100.0,21477000.0,57950800.0,9631900.0,,23016034.0,9499700.0,288329200.0,3243740.0,21101400.0,,,,10975500.0,33395400.0,,284638300.0,,,3581200.0,154162600.0,44708800.0,,12395100.0,24220900.0,,,,,,1698200.0,7053000.0,,18704200.0,101677800.0,122653600.0,34341600.0,32376700.0,5069100.0,55431700.0,22354800.0,9562200.0,19541100.0,45286000.0,6781800.0,,13687100.0,45314400.0,11130000.0,10487000.0,30099600.0,87787500.0,1316200.0,7666900.0,16285200.0,12496100.0,,31529300.0,23301200.0,35041700.0,655000.0,50010900.0,46366500.0,,74344600.0,24376125.0,,39852500.0,12721600.0,12724000.0,74079600.0,75656400.0,31317900.0,11077800.0,9968400.0,,19732400.0,,15959400.0,,37897300.0,,31405300.0,33046960.0,47225300.0,39826000.0,317739500.0,11894800.0,4655500.0,3711200.0,55694600.0,,,22894400.0,,,,,48360200.0,77726100.0,27431400.0,26970200.0,,,22535600.0,,3317100.0,,,41048923.0,,27123300.0,,7319782400,,,,,69783700,,5181200.0,,197752000,59640400.0,21380231,35816100.0,105490000,5627500,8688700,34333200,,61848800,69641800.0,9334600.0,5882580,,,,,,,,,57629900,,,624787600,,,112699000.0,,,197033600,,,,,,26126800.0,,,,,20022500,,33686730,23433600.0,11562300,,,,,,4101279.0,,7149900.0,,,,,28980400.0,5678900,11536100.0,,,150375900,,,38249400.0,12443100,60974700,207918200,32206400,39048600,80592200.0,42963000,71070300,5316800.0,12100400.0,13162300.0,25965600,34366800,14950313,,,4850400.0,,36325700.0,21013700.0,5368000.0,,,33746267,,,,61066900.0,98905400.0,8643600.0,74396900,27993200.0,10608900.0,,,,,,74105200,,,,,,29169539,46462100.0,25099900,29056950,,10469420.0,,78533000,,16226800.0,,,23932800.0,,14387700.0,57483600,30863200.0,,,,,,,,,36829191.0,,,24679800.0,,,,,55376100,,9218400.0,8851201,,78590000,,19391100,12401200,,145842750.0,,,27113200,30962100,48620400.0,,,34309400.0,15564300,,37268600.0,26173600,,,29941000,80449500,,,16116500,,,20034400.0,,,,,14495100.0,1245979800,,341677800,,5097200.0,,,,,68555700.0,,,,104490000,77004000,,,39653600,,19020500.0,23144200.0,,8518200.0,54646800,,,,,,30026800,121104000,,,,7532000.0,,,8315100.0,,,11718300,,25997400.0,,,16242300,8193900,11872188,,,,,,,,10965200,13680800,8579200,8202000.0,14943900,29337200.0,,,173845000.0,13057400,60754400,,,41661500.0,,,,,,,,,,,41122400,14354000,7907738.0,,,,,38466200,,,,55771700,,,54162400.0,,21515200,,,23401700,14062600,,,,,,30723750,21136100.0,,,,,,4767100.0,11532800.0,38783700.0,64609000.0,,,,3612300.0,,,,,,,,,,607590.0,1899000.0,,,35880600,34757800.0,14957200.0,45447863,,,,,,44471400,22223700,135906900,,,,,,34994900.0,,,7852400,,62296100,7191200.0,10418200.0,5305300.0,,,24631500.0,42292400.0,8563400,100085600,,25696700,22067650,,,,96851600,31304700,10899400.0,,19275100,,,32703100.0,25157500.0,,,52137600,,,11799800.0,,144634200,30973600.0,,9784760.0,,,,23292800,9066800,,109690400,,,,5906800,6987400.0,,,13471000.0,,,965308400,,50480800,23132000,,,,,,,5149800.0,27590200,,,,31953106.0,,,,157264800,,,,3593800.0,,120216000,27070400.0,19564900,18779200.0,7653000.0,,25529600,,,,,66507800,32315200,,62243700.0,,157997000,136437400,61710600.0,,8084200.0,,39707200.0,5392100.0,46918200,1968000.0,,9179500.0,66223600.0,,,,,,,49270500,,28646500,12892500,,,134922000,11597400.0,,11996700,67007100,,,,16620900.0,,,50432200.0,,,,21866204.0,30354200,69683300.0,17420100.0,96925000,,20124400,30902400,,4975400.0,11294589.0,76663700,11950500.0,28665700.0,126472600.0,,,,,,,,,,,,4338000.0,,,37316200,61450400,,,247377800,10608750.0,,,,111569500,,41569800,58462800,,1334496200,32029168,,,,9372700.0,77213200.0,,223163400,,,,,,441194.0,8447200.0,,,,613200.0,21220100.0,3820200.0,,,,,92268000,31507500,,,,19146300.0,,322174400,,,9396300.0,12573600,,148773500.0,,,24635720.0,22878400,110068400,22539500,39822400,,,52356000,,,,172808800.0,13264300.0,,10820800.0,,,11302200.0,3456600.0,5763600.0,26595600,12031800.0,1192031400.0,,,9188500.0,56721400,,20109950,,44439150,,,17322900.0,52268288,14197000.0,2141500.0,,,,39580300.0,,18068000,,71742500,,156965300,,101045000,1338300.0,94586400,15928950,19735600,,20921400,,,,13625900,,4459100,,,20914000,8998000,12053800.0,,,,,37532480.0,10222600.0,,48100400.0,,,,,680634600,,,,26243600.0,5621300.0,1978450.0,,16651200.0,,8181300.0,,20906300.0,48297300.0,,,,,,,28254675.0,,,,1237500.0,,11933700.0,8956100,,,,,2448198.0,,46272900.0,22314800.0,84788200,25599400.0,,,,,,,104411850.0,26646500.0,,,15624800,18556800.0,118813200.0,,43816500,46478200.0,,,,,122284400,,30097200.0,4523300,,,,523471.0,27534500,,,27573400,158206200.0,,20046700,,,11934900.0,27562000.0,18747200,,,,1649227.0,4782300,,,42298100.0,3990700.0,,,29927400,146766000,6461600,,,,,,,18779200.0,,27535400.0,,11016300,,,,20690200.0,67779600,13056263.0,,13107600.0,240160800,4331200.0,132727700.0,9045300,,8285300.0,,18307700.0,34223500.0,,17428600.0,,,16278800,16628400,,,,,39353400.0,,5545500.0,,,113016187.0,169302000.0,21608000,48021000.0,,,,,8580800.0,15522600.0,,,2841650.0,,43086000.0,47922600.0,202014400,63716800.0,71570800,,,,46518300,55078100.0,,,,29619600,,,,3569200,,,,,,,,,,60035500,,72418800.0,,29617000,,507967953.0,,,,161378400,,,9032300,,69929300.0,50806700,37229800,175127900,7025100.0,10952500.0,,,,,,,13053500.0,84897188,68421000.0,,14816800.0,,6234700.0,125154400.0,193769000,,17340000.0,,,69254400,,,,
2000-03-31 00:00:00,3021500.0,9457700.0,129749800.0,17068200.0,29707600.0,,,60864500.0,,96707500.0,58496900.0,8531000.0,11563000.0,58860900.0,97773200.0,,8022900.0,20110000.0,53735300.0,16667500.0,,,3028350.0,41242200.0,,10313100.0,,30484400.0,97021200.0,18997900.0,88006300.0,51110400.0,,,201032900.0,149796400.0,,,,,,,11567000.0,10315400.0,25119900.0,,,929379400.0,11195800.0,79406400.0,30337800.0,67510500.0,16958900.0,,23931005.0,10249000.0,487075300.0,3141360.0,32952200.0,,,,11019600.0,33624800.0,,356715600.0,,,15857900.0,173210550.0,40551200.0,,8956100.0,30660200.0,,,,,,2501400.0,9249200.0,,22908100.0,122479700.0,106300100.0,51007800.0,33635100.0,11302700.0,88981800.0,26030100.0,19264300.0,26471400.0,74465300.0,17901800.0,,11256600.0,49668300.0,17185400.0,24763800.0,39203600.0,126897700.0,1523600.0,11922400.0,10301500.0,19682100.0,,32470600.0,31806000.0,41616800.0,1037300.0,53077800.0,52389200.0,,63061000.0,26492500.0,,42364400.0,22089200.0,15358400.0,48252000.0,127096300.0,31283400.0,12782100.0,10843200.0,,21054000.0,,11845500.0,,45891200.0,,35064600.0,52153180.0,50473000.0,51638100.0,543237700.0,12283300.0,4566700.0,4703300.0,82092600.0,,,32675500.0,,,,,69987200.0,60753900.0,41209200.0,31113800.0,,,38115600.0,,4306000.0,,,41157962.0,,32799600.0,,8699219200,,,,,78477900,,8967400.0,,254782000,59418700.0,31996204,49952700.0,137024400,10003300,9067800,55046200,,77974800,80767700.0,11731000.0,6686213,,,,,,,,,80258700,,,576947000,,,161430800.0,,,353740000,,,,,,31975300.0,,,,,25351700,,60552723,46152400.0,22732100,,,,,,7343493.0,,8657800.0,,,,,56776800.0,9962800,10311900.0,,,171999000,,,52253400.0,13143500,80965400,246883200,56356800,70107200,176862200.0,41431800,99992025,15931100.0,14708400.0,15184800.0,30952200,45678600,14129063,,,7901400.0,,60944600.0,27116600.0,11872700.0,,,48049626,,,,67343300.0,75816500.0,6296000.0,181090800,37654700.0,10854400.0,,,,,,58326000,,,,,,31919845,62782000.0,44848200,47137650,,10326210.0,,85533800,,17523400.0,,,13894900.0,,19794400.0,96551700,44017300.0,,,,,,,,,50357187.0,,,21042900.0,,,,,74127300,,12210200.0,10391724,,126365000,,36036100,15236300,,309028350.0,,,23928400,19317400,68590400.0,,,50226700.0,16699500,,51486700.0,27100400,,,35986600,128374600,,,19930700,,,23289700.0,,,,,18472600.0,1209091304,,245035800,,6907800.0,,,,,112037100.0,,,,127245600,89743400,,,33391800,,23775200.0,12583000.0,,10188400.0,55855200,,,,,,43808000,152102800,,,,8319000.0,,,7113200.0,,,14336900,,35797100.0,,,14835600,14583000,18194382,,,,,,,,15794600,12260500,10285600,11786080.0,53603100,33771700.0,,,203228600.0,18773200,77580000,,,50687800.0,,,,,,,,,,,34493200,21796700,6939000.0,,,,,29582400,,,,83670800,,,78261300.0,,21075000,,,29632900,11477900,,,,,,37126050,39524100.0,,,,,,4936800.0,13156800.0,69461000.0,84964100.0,,,,5948900.0,,,,,,,,,,587200.0,4874500.0,,,41278800,32727000.0,23822600.0,57745650,,,,,,51749800,23538825,187231800,,,,,,29166100.0,,,9815900,,51547300,9891800.0,11817600.0,7382900.0,,,19634800.0,51700300.0,14275700,161465400,,22818200,14828550,,,,112671400,44984100,19658200.0,,24221700,,,27673700.0,38511600.0,,,65560100,,,21632000.0,,160442000,41750000.0,,12367800.0,,,,27149800,8941000,,156890700,,,,13089600,6674300.0,,,16115400.0,,,1131390200,,73838800,26552500,,,,,,,7319300.0,34144200,,,,54554590.0,,,,232447000,,,,2092900.0,,148299900,24822800.0,18680500,19964600.0,15767600.0,,34083100,,,,,83186600,54369900,,93782800.0,,239207800,181598800,70944900.0,,10307100.0,,55614000.0,8210750.0,49465200,3787800.0,,12444600.0,108844800.0,,,,,,,63737600,,44178300,23889400,,,153368800,10364100.0,,13010200,48178050,,,,20639900.0,,,45776400.0,,,,24925074.0,28553300,75353300.0,18312600.0,90334000,,22100500,20115200,,6434800.0,7393093.0,82737800,15001200.0,38254300.0,121320400.0,,,,,,,,,,,,5388800.0,,,45608600,78382200,,,264717100,21841275.0,,,,154772500,,80495600,87979400,,2028191200,47043082,,,,19250400.0,77046100.0,,256159000,,,,,,286128.0,10077700.0,,,,707700.0,27121600.0,6227600.0,,,,,158754400,22728800,,,,32333400.0,,273400800,,,11020700.0,16749000,,118374900.0,,,29184940.0,23304600,150922100,39405600,40296400,,,23166100,,,,177665600.0,14039800.0,,14278000.0,,,11441600.0,5951505.0,6528400.0,49596200,11103000.0,1381303800.0,,,7842400.0,60620600,,22552700,,62998350,,,31969700.0,62602369,26152800.0,2940100.0,,,,24728900.0,,22061000,,89881400,,232128300,,427207800,4253700.0,188884800,13065900,20466800,,20107000,,,,18236600,,9923200,,,20793800,11430400,10479400.0,,,,,37860800.0,8180000.0,,52197000.0,,,,,743115800,,,,33845500.0,15095500.0,2930505.0,,33837600.0,,5442200.0,,25516000.0,58253500.0,,,,,,,38060409.0,,,,1445000.0,,14245500.0,12328000,,,,,2279964.0,,32367500.0,31762800.0,81388600,72877500.0,,,,,,,148377150.0,51358200.0,,,29123000,41388100.0,108356900.0,,43820700,39284000.0,,,,,172314400,,34321500.0,5875200,,,,956956.0,32437000,,,27188000,224082000.0,,15065000,,,17603000.0,27176000.0,38940000,,,,1914127.0,5558200,,,45000300.0,4558360.0,,,43251000,143047400,7678000,,,,,,,24444200.0,,37944500.0,,12131500,,,,18299500.0,83588800,10259475.0,,16176800.0,462485600,3627200.0,170546700.0,29041200,,9294500.0,,24530100.0,38067800.0,,39443700.0,,,24797400,22906500,,,,,39868400.0,,6233400.0,,,121736712.0,209105200.0,28804600,104695000.0,,,,,15520500.0,18354400.0,,,5282630.0,,55099700.0,51513600.0,146058400,40098900.0,83452000,,,,54384500,127679200.0,,,,30952400,,,,4053900,,,,,,,,,,80061800,,81111900.0,,55731300,,617746124.0,,,,210619800,,,8934900,,75632200.0,56942300,44028800,179079800,6263300.0,7270800.0,,,,,,,21689250.0,66168222,93780100.0,,15199900.0,,15927800.0,132935600.0,245190400,,30302525.0,,,61328000,,,,
