Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BBWI,"Bath & Body Works Inc",36,1.57,+4.56%,36.245,34.51,4527600,2022-11-11
BBY,"Best Buy Company",74.55,2.52,+3.50%,75.44,71.94,2400500,2022-11-11
BDX,"Becton Dickinson and Company",227.67,-1.61,-0.70%,230.42,224.45,1792600,2022-11-11
BEN,"Franklin Resources",27.33,1.72,+6.72%,27.56,25.68,5491700,2022-11-11
BF.B,"Brown Forman Inc Cl B",69.64,-0.2,-0.29%,70.15,68.95,1166800,2022-11-11
BIIB,"Biogen Inc",289.45,-1.25,-0.43%,291.01,283.44,1263400,2022-11-11
BIO,"Bio-Rad Laboratories",435.68,8.1,+1.89%,450.81,427.97,365700,2022-11-11
BK,"Bank of New York Mellon Corp",44.52,0.45,+1.02%,44.695,43.96,5808800,2022-11-11
BKNG,"Booking Holdings Inc",2015.77,69.26,+3.56%,2033.38,1936.31,442800,2022-11-11
BKR,"Baker Hughes A Ge Co. Cl A",31.02,0.44,+1.44%,31.88,30.84,7138900,2022-11-11
BLK,"Blackrock Inc",774.75,14.94,+1.97%,785.65,748,1278500,2022-11-11
BMY,"Bristol-Myers Squibb Company",75.96,-3.42,-4.31%,78.455,74.5535,18317600,2022-11-11
BR,"Broadridge Financial Solutions Llc",139.99,-1.25,-0.89%,142.32,138.59,720000,2022-11-11
BRK.B,"Berkshire Hathaway Cl B",309.72,6.52,+2.15%,311.33,302.6,6572800,2022-11-11
BRO,"Brown & Brown",56.67,-2.02,-3.44%,59.17,55.92,1281100,2022-11-11
BSX,"Boston Scientific Corp",42.52,-1.24,-2.83%,43.93,40.95,10478700,2022-11-11
BWA,"Borgwarner Inc",42.42,1.45,+3.54%,42.64,41.01,2438200,2022-11-11
BXP,"Boston Properties",76.08,0.59999999999999,+0.79%,76.9,75.27,1430800,2022-11-11
C,"Citigroup Inc",50.19,1.77,+3.66%,50.57,48.44,26009100,2022-11-11
CAG,"Conagra Brands Inc",34.56,-0.63,-1.79%,35.17,33.21,4533600,2022-11-11
CAH,"Cardinal Health",75.27,-2.66,-3.41%,78.25,73.08,6354100,2022-11-11
CARR,"Carrier Global Corp",44.44,0.96,+2.21%,44.7523,43.1989,4760200,2022-11-11
CAT,"Caterpillar Inc",236.49,4.04,+1.74%,238.4,231.9983,3585400,2022-11-11
CB,"Chubb Ltd",206.26,-5.65,-2.67%,214.272,205.43,2620200,2022-11-11
CBOE,"CBOE Global Markets Inc",115.1,-5.86,-4.84%,121.45,114.17,2227400,2022-11-11
CBRE,"CBRE Group Inc",78.83,1.61,+2.08%,79.97,77.95,2216900,2022-11-11
CCI,"Crown Castle Inc",140.47,1.81,+1.31%,141.77,138.13,2717600,2022-11-11
CCL,"Carnival Corp",10.35,0.57,+5.83%,10.45,9.76,69889400,2022-11-11
CDAY,"Ceridian Hcm Holding Inc",65.3,2.04,+3.22%,66.2,62.57,3097000,2022-11-11
CDNS,"Cadence Design Sys",166.9,4.88,+3.01%,167.99,161.49,2273700,2022-11-11
CDW,"CDW Corp",184.35,-1.15,-0.62%,188.87,184.1,531800,2022-11-11
CE,"Celanese Corp",110.56,6.27,+6.01%,112.28,105.37,2034900,2022-11-11
CEG,"Constellation Energy Corp",92.31,-2.83,-2.97%,95.87,91.61,3133200,2022-11-11
CF,"Cf Industries Holdings",102.82,-5.67,-5.23%,112.44,102.06,5021100,2022-11-11
CFG,"Citizens Financial Group Inc/Ri",41.55,0.13,+0.31%,41.88,41.185,3244600,2022-11-11
CHD,"Church & Dwight Company",74.47,-0.47,-0.63%,75.13,73.21,2015400,2022-11-11
CHRW,"C.H. Robinson Ww",98.26,4.33,+4.61%,98.63,94.02,1943200,2022-11-11
CHTR,"Charter Communicatio",394.4,21.24,+5.69%,398.07,371.95,1589300,2022-11-11
CI,"Cigna Corp",303.82,-19.52,-6.04%,324.5,289.61,5494600,2022-11-11
CINF,"Cincinnati Financial",110.09,2.54,+2.36%,110.5,106.99,1042200,2022-11-11
CL,"Colgate-Palmolive Company",74.57,-0.40000000000001,-0.53%,75.38,73.64,3159900,2022-11-11
CLX,"Clorox Company",141.91,-2.07,-1.44%,144.09,136.52,1467300,2022-11-11
CMA,"Comerica Inc",73.62,-0.89999999999999,-1.21%,75.5,73.02,2188600,2022-11-11
CMCSA,"Comcast Corp A",34.02,1.25,+3.81%,34.06,32.83,24484801,2022-11-11
CME,"CME Group Inc",174.25,-0.09,-0.05%,175.56,171.35,2723500,2022-11-11
CMG,"Chipotle Mexican Grill",1506.35,35.43,+2.41%,1523.88,1465,443700,2022-11-11
CMI,"Cummins Inc",248.17,6.04,+2.49%,250.15,241.7784,1432200,2022-11-11
CMS,"Cms Energy Corp",58.42,-0.78,-1.32%,59.19,57.75,1441900,2022-11-11
CNC,"Centene Corp",82.07,-2.36,-2.80%,84.43,79.48,5823300,2022-11-11
CNP,"Centerpoint Energy Inc",29.13,-0.27,-0.92%,29.527,28.73,4194600,2022-11-11
COF,"Capital One Financial Corp",116.25,2.83,+2.50%,118.4,114.255,4476300,2022-11-11
COO,"Cooper Companies",324.32,22.29,+7.38%,327.865,302.785,1019500,2022-11-11
COP,Conocophillips,133.96,4.5,+3.48%,134.855,130.56,8662000,2022-11-11
COST,"Costco Wholesale",515.47,2.34,+0.46%,516.84,506.71,2393500,2022-11-11
CPB,"Campbell Soup Company",48.97,-1.58,-3.13%,50.515,47.56,3766400,2022-11-11
CPRT,"Copart Inc",61.56,1.1,+1.82%,61.87,60.52,1939900,2022-11-11
CPT,"Camden Property Trust",115.23,-0.97,-0.83%,117,114.42,725800,2022-11-11
CRL,"Charles River Laboratories Intl",246.28,8.58,+3.61%,248.17,238.08,1074000,2022-11-11
CRM,"Salesforce Inc",157.73,1.43,+0.91%,159.92,155.58,7382400,2022-11-11
CSCO,"Cisco Systems Inc",44.79,-0.87,-1.91%,45.32,43.92,25961699,2022-11-11
CSGP,"Costar Group Inc",83.28,-0.88,-1.05%,85.37,83.19,2170500,2022-11-11
CSX,"CSX Corp",31.94,0.72,+2.31%,32.06,31.35,14690801,2022-11-11
CTAS,"Cintas Corp",443.86,-0.65,-0.15%,450.51,440.44,455900,2022-11-11
CTLT,"Catalent Inc",47.18,2.29,+5.10%,47.535,44.69,3428300,2022-11-11
CTRA,"Coterra Energy Inc",28.45,0.92,+3.34%,28.585,27.73,14002600,2022-11-11
CTSH,"Cognizant Tech Sol",58.42,1.13,+1.97%,58.77,57.38,3610900,2022-11-11
CTVA,"Corteva Inc",64.77,-2.44,-3.63%,68.1,64.2952,5139200,2022-11-11
CVS,"CVS Corp",97.55,-2.36,-2.36%,99.965,95.05,9175000,2022-11-11
CVX,"Chevron Corp",186.46,5.16,+2.85%,187.1,183.89,8428300,2022-11-11
CZR,"Caesars Entertainment Inc",52.12,1.5,+2.96%,53.13,50.43,4881500,2022-11-11
D,"Dominion Resources",61.66,-0.71,-1.14%,62.3,60.97,5615100,2022-11-11
DAL,"Delta Air Lines Inc",35.44,-0.050000000000004,-0.14%,36,35.26,9129900,2022-11-11
DD,"Dupont Denemours Inc",70.81,1.16,+1.67%,71.66,69.36,4495700,2022-11-11
DE,"Deere & Company",406.03,-1.58,-0.39%,413.5,405.1501,1519200,2022-11-11
DFS,"Discover Financial Services",108.78,0.46000000000001,+0.42%,111.59,108.7,2637100,2022-11-11
DG,"Dollar General Corp",249.14,-4.8,-1.89%,255.95,245.93,1621700,2022-11-11
DGX,"Quest Diagnostics Inc",151.03,-1.45,-0.95%,152.71,148.62,1589200,2022-11-11
DHI,"D.R. Horton",84.92,1,+1.19%,85.79,83.3,3647000,2022-11-11
DHR,"Danaher Corp",271,3.13,+1.17%,277.23,268.3,3525000,2022-11-11
DIS,"Walt Disney Company",95.01,4.55,+5.03%,95.58,91.1,22373200,2022-11-11
DISH,"Dish Network Corp",17,0.94,+5.85%,17.16,15.9,4484400,2022-11-11
DLR,"Digital Realty Trust",111.58,2.99,+2.75%,113.26,108.39,2804300,2022-11-11
DLTR,"Dollar Tree Inc",165.61,2.49,+1.53%,166.43,161.05,1732500,2022-11-11
DOV,"Dover Corp",140.94,3.59,+2.61%,141.9,137.54,1141500,2022-11-11
DOW,"Dow Inc",53.14,3.18,+6.37%,53.44,50.9,9009700,2022-11-11
DPZ,"Domino's Pizza Inc",366.52,8.7,+2.43%,370.72,356.67,698300,2022-11-11
DRI,"Darden Restaurants",141.16,-4.17,-2.87%,146.31,139.51,1450000,2022-11-11
DTE,"Dte Energy Company",114.26,-1.28,-1.11%,116.64,113.18,1434000,2022-11-11
DUK,"Duke Energy Corp",95.17,-1.93,-1.99%,97.25,94.45,3286500,2022-11-11
DVA,"Davita Healthcare Partners Inc",71.9,3.45,+5.04%,72,68.27,949900,2022-11-11
DVN,"Devon Energy Corp",71.8,2.82,+4.09%,72.99,70.27,9500300,2022-11-11
DXC,"Dxc Technology Company",29.46,0.45,+1.55%,29.72,29,1511400,2022-11-11
DXCM,"Dexcom Inc",115.96,-3.88,-3.24%,122.28,114.59,3461400,2022-11-11
EA,"Electronic Arts Inc",131.23,0.93,+0.71%,131.41,128.41,2057800,2022-11-11
EBAY,"Ebay Inc",46.51,1.85,+4.14%,46.99,44.74,7298800,2022-11-11
ECL,"Ecolab Inc",155.68,4.05,+2.67%,156.4,151.65,1320700,2022-11-11
ED,"Consolidated Edison Company",89.12,-1.83,-2.01%,91.01,88.15,2556700,2022-11-11
EFX,"Equifax Inc",193.99,6.18,+3.29%,195.455,186.19,1767100,2022-11-11
EIX,"Edison International",59.87,-0.42,-0.70%,60.47,59.22,1324100,2022-11-11
EL,"Estee Lauder Companies",228.22,9.33,+4.26%,232.33,221.695,3516800,2022-11-11
ELV,"Elevance Health Inc",491.36,-30.52,-5.85%,519.445,480.65,2411500,2022-11-11
EMN,"Eastman Chemical Company",89.49,4.36,+5.12%,90,85.64,1464100,2022-11-11
EMR,"Emerson Electric Company",95.44,1.44,+1.53%,96.36,94.02,4345200,2022-11-11
ENPH,"Enphase Energy Inc",292.01,-17.24,-5.57%,319.49,291.29,5078300,2022-11-11
EOG,"Eog Resources",147.11,4.8,+3.37%,148.14,144.49,3072100,2022-11-11
EPAM,"Epam Systems Inc",360.23,9.78,+2.79%,364.7,348.26,350700,2022-11-11
EQIX,"Equinix Inc",660.6,12.6,+1.94%,662.62,645.24,664100,2022-11-11
EQR,"Equity Residential",62.78,-1.19,-1.86%,64.53,62.34,2304800,2022-11-11
EQT,"Eqt Corp",42.62,-0.28,-0.65%,44.0154,41.34,7255900,2022-11-11
ES,"Eversource Energy",78.09,-1.03,-1.30%,79.02,77.32,1569900,2022-11-11
ESS,"Essex Property Trust",215.3,-3.26,-1.49%,219.04,211.58,852800,2022-11-11
ETN,"Eaton Corp",161.6,-0.53,-0.33%,163.52,160.845,2361300,2022-11-11
ETR,"Entergy Corp",110.63,-0.41000000000001,-0.37%,111.33,109.11,1512900,2022-11-11
ETSY,"Etsy Inc",115.64,5.43,+4.93%,116.6,109.04,3720300,2022-11-11
EVRG,"Evergy Inc",59.39,-2.31,-3.74%,61.645,58.9088,2466000,2022-11-11
EW,"Edwards Lifesciences Corp",74.65,2.1,+2.89%,75.8,73.2,4984500,2022-11-11
EXC,"Exelon Corp",39.11,0.11,+0.28%,39.37,38.46,7487700,2022-11-11
EXPD,"Expeditors Intl",111.91,3.22,+2.96%,112.35,108.51,1652500,2022-11-11
EXPE,"Expedia Group Inc",102.79,3.75,+3.79%,104.47,99.18,3097500,2022-11-11
EXR,"Extra Space Storage Inc",158.33,-4.76,-2.92%,164.34,157.33,1264900,2022-11-11
F,"Ford Motor Company",14.5,0.32,+2.26%,14.666,14.2,60187600,2022-11-11
FANG,"Diamondback Energy",164.35,4.07,+2.54%,166.48,163.13,2691200,2022-11-11
FAST,"Fastenal Company",51.8,-0.07,-0.13%,51.98,51.16,2943200,2022-11-11
FBHS,"Fortune Brands Home & Security",67.25,1.56,+2.37%,68.4,65.48,1375600,2022-11-11
FCX,"Freeport-Mcmoran Inc",38.04,1.29,+3.51%,39.255,37.74,22053400,2022-11-11
FDS,"Factset Research Systems Inc",421.24,-15.04,-3.45%,437.18,419.91,325200,2022-11-11
FDX,"Fedex Corp",175.61,9.61,+5.79%,176.8986,166.24,4436400,2022-11-11
FE,"Firstenergy Corp",37.96,-1.03,-2.64%,39.02,37.76,3297000,2022-11-11
FFIV,"F5 Inc",149.91,5.17,+3.57%,150.43,144.1,667500,2022-11-11
FIS,"Fidelity National Information Services",65.4,1.4,+2.19%,65.95,63.23,8269300,2022-11-11
FISV,"Fiserv Inc",100.47,-0.53,-0.52%,101.72,99.97,5989600,2022-11-11
FITB,"Fifth Third Bancorp",36.85,0.56,+1.54%,37.2,36.38,7378300,2022-11-11
FLT,"Fleetcor Technologies",199.8,5.2,+2.67%,202.61,195.64,855200,2022-11-11
FMC,"FMC Corp",125.55,-0.90000000000001,-0.71%,128.33,123.565,880000,2022-11-11
FOX,"Fox Corp Cl B",28.76,1.06,+3.83%,28.91,27.76,1040600,2022-11-11
FOXA,"Fox Corp Cl A",30.52,1.08,+3.67%,30.7,29.46,2946500,2022-11-11
FRC,"First Republic Bank",129.11,2.62,+2.07%,130.735,126.75,2351900,2022-11-11
FRT,"Federal Realty Investment Trust",107.77,0.7,+0.65%,107.96,105.725,644300,2022-11-11
FTNT,"Fortinet Inc",56.13,1.74,+3.20%,56.23,53.76,6267000,2022-11-11
FTV,"Fortive Corp",68.47,0.56999999999999,+0.84%,69.42,68.12,2544000,2022-11-11
GD,"General Dynamics Corp",243.13,-10.35,-4.08%,251.76,242.75,1395300,2022-11-11
GE,"General Electric Company",86.31,0.93000000000001,+1.09%,86.78,85.15,7781700,2022-11-11
GEN,"Gen Digital Inc",22.94,0.31,+1.37%,23.16,22.49,10688601,2022-11-11
GILD,"Gilead Sciences Inc",81.82,-0.78,-0.94%,81.98,80.07,11413301,2022-11-11
GIS,"General Mills",77.25,-2.33,-2.93%,79,75.77,6176900,2022-11-11
GL,"Globe Life Inc",109.71,-4.14,-3.64%,114.825,109.62,697700,2022-11-11
GLW,"Corning Inc",34.46,0.56,+1.65%,34.875,34,3782900,2022-11-11
GM,"General Motors Company",41.12,1.38,+3.47%,41.575,39.82,13035200,2022-11-11
GNRC,"Generac Holdings Inc",114.08,4.18,+3.80%,115.91,107.75,2060800,2022-11-11
GOOG,"Alphabet Cl C",96.73,2.56,+2.72%,97.36,94.16,30569102,2022-11-11
GOOGL,"Alphabet Cl A",96.41,2.47,+2.63%,96.93,93.92,33090402,2022-11-11
GPC,"Genuine Parts Company",177.96,-4.24,-2.33%,183.48,177.23,1162900,2022-11-11
GPN,"Global Payments Inc",104.38,1.49,+1.45%,105.23,102.06,3411000,2022-11-11
GRMN,"Garmin Ltd",93.76,2.45,+2.68%,94.63,91.09,928200,2022-11-11
GS,"Goldman Sachs Group",385.17,6.86,+1.81%,387,378.75,3409000,2022-11-11
GWW,"W.W. Grainger",586.52,-21.86,-3.59%,609.69,581.59,448200,2022-11-11
HAL,"Halliburton Company",38.74,0.93,+2.46%,39.86,38.42,8436900,2022-11-11
HAS,"Hasbro Inc",63.41,3.02,+5.00%,63.54,60.52,1359700,2022-11-11
HBAN,"Huntington Bcshs",14.97,-0.21,-1.38%,15.38,14.84,22359701,2022-11-11
